,manufacturer,model,fuel,transmission,drive,type,size,cylinders
62249,toyota,corolla s sedan 4d,gas,other,fwd,sedan,full-size,8
62252,chevrolet,el camino,gas,automatic,fwd,pickup,mid-size,6
62253,chevrolet,express cutaway,gas,automatic,rwd,bus,full-size,8
62255,nissan,versa,gas,manual,rwd,pickup,full-size,8
62260,chevrolet,lt sonic hatchback,gas,automatic,rwd,hatchback,full-size,4
62269,bmw,323ci,gas,automatic,rwd,convertible,mid-size,6
62270,gmc,Renault/SCCA miniaturization,gas,manual,rwd,pickup,mid-size,4
62273,bmw,528i,gas,automatic,4wd,sedan,compact,4
62279,bmw,m4,gas,automatic,rwd,coupe,compact,6
62286,volvo,xc90,gas,automatic,4wd,SUV,mid-size,4
62288,acura,integra,gas,automatic,fwd,sedan,compact,4
62291,bmw,740 il,gas,automatic,rwd,sedan,full-size,8
62296,ford,expedition max,gas,automatic,rwd,SUV,full-size,6
62299,ford,fiesta se hatchback 4d,gas,other,fwd,hatchback,full-size,8
62309,volkswagen,cc,gas,automatic,rwd,pickup,full-size,8
62325,mercedes-benz,s63 amg,gas,automatic,rwd,sedan,full-size,8
62349,subaru,outback 2.5i,gas,automatic,rwd,SUV,full-size,8
62352,volvo,xc90,gas,automatic,4wd,pickup,full-size,5
62364,bmw,335i convertible,gas,automatic,rwd,convertible,full-size,6
62368,hyundai,tucson se sport utility,gas,automatic,rwd,other,full-size,8
62370,toyota,sienna le,gas,automatic,rwd,van,full-size,6
62382,gmc,bentley continental gt,gas,automatic,rwd,pickup,full-size,12
62383,hyundai,elantra sel sedan 4d,gas,other,fwd,sedan,full-size,8
62385,jeep,cherokee high altitude,other,other,4wd,other,full-size,8
62388,mercedes-benz,c-class c 250 2dr,gas,automatic,rwd,coupe,full-size,8
62390,gmc,terrain denali 4dr suv,gas,automatic,rwd,other,full-size,8
62391,mazda,cx-9,gas,automatic,4wd,SUV,full-size,6
62393,bmw,3 series 328i 4dr sedan,gas,automatic,rwd,sedan,full-size,8
62395,mercedes-benz,s-class s 550 4dr,gas,automatic,rwd,sedan,full-size,8
62396,toyota,prius three 4dr hatchback,hybrid,automatic,rwd,hatchback,full-size,8
62402,gmc,maserati,gas,other,rwd,coupe,compact,8
62403,mazda,mazda3 i touring sedan 4d,other,other,fwd,sedan,full-size,8
62404,audi,q3 sport premium utility 4d,gas,other,rwd,other,full-size,8
62405,porsche,718 cayman,gas,automatic,rwd,pickup,full-size,4
62407,mercedes-benz,glc 300 4matic,other,other,rwd,other,full-size,8
62423,dodge,sweptline truck with box,gas,automatic,rwd,truck,full-size,8
62430,saturn,sky,gas,manual,rwd,convertible,compact,4
62431,lexus,rx400h,hybrid,automatic,4wd,SUV,mid-size,4
62434,dodge,350,gas,automatic,rwd,van,full-size,8
62438,lexus,es300,gas,automatic,fwd,pickup,full-size,8
62440,ford,taurus sel sedan 4d,other,other,fwd,sedan,full-size,6
62441,ford,taurus se sedan 4d,gas,other,fwd,sedan,full-size,6
62446,bmw,3-series 328i convertible,gas,automatic,rwd,convertible,full-size,6
62450,mercedes-benz,s-clas,gas,automatic,rwd,sedan,full-size,8
62451,ford,mustang v6 premium 2dr,gas,manual,rwd,coupe,full-size,6
62456,toyota,mirai,electric,automatic,fwd,sedan,full-size,8
62458,mercedes-benz,e-class e 300,other,other,rwd,sedan,full-size,8
62464,ford,explorer limited sport,other,other,fwd,other,full-size,8
62470,cadillac,devville,gas,automatic,rwd,pickup,full-size,8
62471,ford,flex limited,gas,automatic,4wd,SUV,full-size,6
62472,lexus,nx,gas,automatic,rwd,SUV,full-size,4
62476,cadillac,sls,gas,automatic,fwd,sedan,full-size,8
62478,buick,regal,gas,automatic,fwd,sedan,full-size,4
62482,chevrolet,styleline,gas,automatic,fwd,sedan,full-size,8
62491,porsche,boxster s,gas,manual,rwd,convertible,full-size,6
62492,honda,civic,gas,automatic,rwd,pickup,full-size,6
62501,volkswagen,cc sport,gas,automatic,fwd,sedan,full-size,4
62506,gmc,chevorlet malibu,gas,automatic,fwd,sedan,mid-size,4
62507,bmw,550i 4d sedan,gas,automatic,rwd,sedan,full-size,8
62518,lexus,nx,hybrid,automatic,rwd,SUV,full-size,4
62520,kia,sedona,gas,automatic,fwd,pickup,full-size,6
62523,lexus,es,hybrid,automatic,fwd,sedan,full-size,4
62528,ford,transit 350,diesel,automatic,rwd,pickup,full-size,5
62530,mercedes-benz,cla 250,gas,automatic,fwd,coupe,full-size,4
62534,ford,f250 xlt,gas,automatic,rwd,truck,full-size,6
62544,ford,f350 super camper,gas,automatic,fwd,pickup,full-size,8
62555,jaguar,xk8 convertible,gas,automatic,fwd,convertible,mid-size,8
62559,acura,ilx sedan,gas,automatic,rwd,sedan,mid-size,4
62561,audi,"a3, 2.0l",gas,automatic,fwd,wagon,mid-size,4
62562,buick,encore,gas,automatic,rwd,SUV,full-size,4
62564,mercedes-benz,c class,other,automatic,rwd,sedan,full-size,6
62566,nissan,kicks,gas,automatic,fwd,SUV,full-size,4
62568,bmw,525i,gas,automatic,rwd,pickup,full-size,6
62569,jaguar,xf 3.0 portfoliosedan,gas,automatic,rwd,sedan,full-size,6
62571,audi,allroad 2.0t quattro,gas,automatic,4wd,wagon,full-size,4
62578,lexus,ux,gas,automatic,fwd,SUV,full-size,4
62590,nissan,quest se,gas,automatic,fwd,mini-van,full-size,8
62594,ford,mustang gt bullitt,gas,manual,rwd,coupe,mid-size,8
62599,gmc,2008 scion xb,gas,manual,fwd,SUV,mid-size,4
62602,audi,q5 prestige sport utility,gas,other,rwd,other,full-size,8
62609,lexus,rx400h,gas,automatic,fwd,SUV,mid-size,6
62612,bmw,z3 m roadster,gas,manual,rwd,convertible,compact,6
62616,cadillac,deville,gas,automatic,rwd,coupe,full-size,8
62617,bmw,528e,gas,automatic,rwd,pickup,full-size,6
62618,lincoln,mkz select sedan 4d,gas,other,rwd,sedan,full-size,8
62621,jeep,cherokee,gas,automatic,4wd,SUV,full-size,4
62623,hyundai,santa fe sport utility,gas,automatic,rwd,other,full-size,8
62630,chevrolet,blazer,other,automatic,fwd,SUV,full-size,4
62632,hyundai,veloster,gas,manual,fwd,coupe,full-size,4
62641,hyundai,santa fe sport utility,other,automatic,rwd,other,full-size,8
62654,bmw,328i,gas,automatic,4wd,coupe,full-size,6
62660,gmc,GM oldsmobile,gas,automatic,rwd,sedan,full-size,6
62681,toyota,hilander,gas,automatic,fwd,SUV,mid-size,6
62688,lexus,es 330,gas,automatic,fwd,sedan,full-size,8
62693,honda,accord crosstour,gas,automatic,4wd,wagon,full-size,6
62700,buick,enclave,gas,automatic,fwd,SUV,full-size,8
62708,nissan,rogue sport sv utility 4d,other,other,rwd,hatchback,full-size,8
62717,chevrolet,colorado,other,automatic,4wd,truck,full-size,4
62718,nissan,sentra,other,other,fwd,sedan,full-size,4
62719,lincoln,mark lt,gas,automatic,4wd,truck,full-size,8
62721,gmc,yukon,other,automatic,rwd,other,full-size,0
62731,lexus,rx 400h base awdsuv,hybrid,other,4wd,other,full-size,6
62732,audi,a4 2.0t premiumsedan,gas,other,rwd,sedan,full-size,4
62742,infiniti,j30,gas,automatic,rwd,sedan,full-size,6
62748,gmc,vandura,gas,automatic,rwd,van,full-size,6
62752,gmc,MERCEDS-BENZ C -CLASS C250,gas,automatic,rwd,coupe,full-size,4
62753,subaru,outback gt,gas,automatic,4wd,wagon,mid-size,4
62755,gmc,oldsmobile cutlass,gas,automatic,fwd,convertible,mid-size,6
62761,gmc,2008 raptor,gas,automatic,rwd,pickup,full-size,8
62762,gmc,1984 Westfalia,gas,manual,rwd,pickup,full-size,8
62770,honda,civic,gas,manual,rwd,sedan,full-size,4
62773,toyota,matrix,gas,automatic,4wd,pickup,full-size,4
62778,audi,q3 premium plus sport,other,automatic,fwd,other,full-size,8
62779,jaguar,xj xjl portfolio sedan 4d,other,other,rwd,sedan,full-size,8
62780,pontiac,torrent,gas,automatic,fwd,pickup,mid-size,6
62786,gmc,Silver shadow deluxe,other,other,rwd,pickup,sub-compact,0
62793,volkswagen,beetle 1.8t sel,gas,automatic,fwd,hatchback,full-size,8
62803,ford,f250 xlt,gas,manual,rwd,pickup,full-size,8
62815,gmc,Isuzu NPR,diesel,automatic,rwd,truck,full-size,8
62816,mercedes-benz,benz c63 amg,gas,automatic,rwd,coupe,compact,8
62827,bmw,5 series 530i xdrive sedan,gas,automatic,rwd,sedan,full-size,8
62829,mercedes-benz,glc 300,gas,automatic,4wd,SUV,mid-size,4
62830,volkswagen,cc 2.0t sport sedan,gas,other,fwd,sedan,full-size,8
62843,gmc,Honday Odyssey,gas,automatic,rwd,SUV,full-size,8
62844,bmw,z3,gas,manual,rwd,pickup,full-size,8
62851,mini,cooper s,gas,manual,rwd,coupe,full-size,4
62860,bmw,z4 z3 tt z 330ci sc430,gas,automatic,rwd,pickup,full-size,6
62868,nissan,versa fit rio corolla,gas,automatic,fwd,pickup,full-size,4
62870,kia,optima sx,gas,automatic,fwd,sedan,mid-size,4
62875,volvo,v70,gas,automatic,fwd,pickup,full-size,5
62879,gmc,Packard Club Opera,gas,manual,rwd,coupe,full-size,8
62880,ford,escape,gas,automatic,rwd,other,full-size,8
62887,honda,civic cng,other,automatic,fwd,sedan,compact,4
62889,honda,odyssey lx,gas,automatic,fwd,van,full-size,6
62898,lexus,sc430,gas,automatic,rwd,pickup,compact,8
62904,ram,1500 classic crew cab,gas,other,rwd,pickup,full-size,8
62916,volvo,s60 t5 inscription,gas,other,fwd,sedan,full-size,8
62918,infiniti,fx fx37 limited edition,gas,other,rwd,other,full-size,6
62919,acura,rdx sport utility 4d,gas,other,fwd,other,full-size,6
62923,chrysler,200 200s sedan 4d,gas,other,rwd,sedan,full-size,6
62930,chevrolet,camaro ls coupe 2d,gas,other,rwd,coupe,full-size,6
62938,toyota,matrix xr,gas,automatic,fwd,hatchback,compact,4
62939,infiniti,g25 sedan journey,gas,automatic,rwd,sedan,compact,4
62956,infiniti,qx30 sport suv 4d,gas,other,fwd,hatchback,full-size,8
62964,cadillac,xt4 sport suv 4d,gas,automatic,rwd,hatchback,full-size,8
62966,mazda,mazda3 touring hatchback,gas,automatic,fwd,hatchback,compact,4
62980,mazda,mazda3 touring sedan 4d,gas,automatic,fwd,sedan,compact,4
62982,nissan,cube,gas,automatic,fwd,sedan,compact,4
62983,gmc,mercedez benz e-class,gas,automatic,4wd,sedan,full-size,6
62984,bmw,328i convertible,gas,automatic,rwd,pickup,full-size,8
62986,kia,soul,diesel,automatic,fwd,SUV,full-size,4
62988,gmc,Focus SEL Sedan 4D,gas,automatic,fwd,sedan,compact,4
63012,toyota,previa sc,gas,automatic,rwd,mini-van,mid-size,4
63013,chevrolet,uplander,gas,automatic,rwd,pickup,full-size,6
63015,ford,e450 step van,gas,automatic,rwd,pickup,full-size,8
63016,mini,cooper hardtop,gas,manual,fwd,hatchback,sub-compact,4
63017,gmc,TOTOTA PRIUS HYBRID,hybrid,automatic,fwd,hatchback,compact,4
63018,chevrolet,express 2500 cargo,other,automatic,rwd,van,full-size,8
63020,mercedes-benz,benz e320,gas,automatic,fwd,sedan,full-size,6
63033,nissan,kicks s sport utility 4d,gas,automatic,fwd,hatchback,full-size,8
63038,buick,envision premium i sport,gas,other,rwd,other,full-size,8
63040,honda,crosstour ex-l sport,other,other,4wd,hatchback,full-size,8
63042,bmw,x3 sdrive30i sport utility,other,other,rwd,other,full-size,8
63043,acura,tl sedan 4d,gas,other,rwd,sedan,full-size,6
63044,mercedes-benz,cla-class cla 250,gas,other,fwd,coupe,full-size,8
63071,volkswagen,jetta 2.0l tdi sedan,diesel,other,fwd,sedan,full-size,8
63074,chevrolet,equinox lt sport,gas,other,fwd,other,full-size,8
63097,volkswagen,super beetle,gas,automatic,rwd,van,full-size,8
63104,bmw,x3 xdrive28i sport utility,gas,automatic,rwd,other,full-size,8
63109,kia,sedona lx minivan 4d,gas,other,fwd,van,full-size,6
63110,toyota,4runner,gas,automatic,4wd,offroad,full-size,4
63111,subaru,crosstrek limited,gas,automatic,4wd,pickup,full-size,4
63114,volkswagen,westfalia vanagon,gas,manual,rwd,van,full-size,4
63115,gmc,isuzu npr,diesel,automatic,rwd,truck,full-size,6
63135,gmc,Clement 2011 scrap metal,other,other,rwd,pickup,full-size,0
63137,bmw,325it,gas,automatic,rwd,wagon,full-size,6
63142,gmc,Caterham 280R,gas,manual,rwd,convertible,full-size,4
63149,chevrolet,camaro ss 1le,gas,manual,rwd,coupe,full-size,8
63153,jaguar,xk 150 se dhc,gas,manual,rwd,convertible,compact,6
63157,gmc,Suzuki SX4,gas,automatic,4wd,pickup,full-size,4
63158,gmc,Ininiti Q60s,gas,automatic,rwd,coupe,full-size,6
63160,ford,f150 xlt supercab,gas,automatic,rwd,truck,full-size,6
63163,volvo,240,gas,automatic,rwd,sedan,full-size,4
63165,ford,ranger 4x4,gas,automatic,4wd,pickup,full-size,8
63167,mercedes-benz,c-class 2004,gas,automatic,rwd,sedan,full-size,8
63168,gmc,isuzu ftr,diesel,automatic,4wd,truck,full-size,4
63170,dodge,dart,gas,automatic,rwd,coupe,full-size,8
63171,gmc,Peterbilt 14ft bed trck,diesel,automatic,rwd,truck,full-size,6
63177,ford,f250 camper special,gas,automatic,rwd,truck,full-size,8
63181,ford,f150 lariat supercrew,gas,automatic,rwd,truck,full-size,8
63193,audi,s4 avant,gas,manual,4wd,wagon,mid-size,6
63194,gmc,1940 LaSalle,gas,manual,rwd,sedan,full-size,8
63202,toyota,camry xle,gas,automatic,fwd,sedan,full-size,6
63209,dodge,b-3b,gas,automatic,rwd,pickup,full-size,6
63210,jeep,liberty,gas,automatic,fwd,SUV,compact,8
63211,mercedes-benz,benz s420,gas,automatic,rwd,sedan,full-size,8
63214,bmw,530e xdrive iperformance,other,automatic,rwd,pickup,full-size,8
63219,hyundai,genesis sedan,gas,automatic,rwd,sedan,full-size,6
63222,ford,mustang ecoboost,gas,automatic,fwd,pickup,full-size,4
63228,ford,f-150 platinum,gas,automatic,4wd,pickup,full-size,6
63229,audi,q5 premium,gas,automatic,4wd,SUV,mid-size,4
63231,honda,hr-v,gas,automatic,4wd,pickup,full-size,4
63232,honda,crv ex-l,gas,automatic,rwd,SUV,full-size,8
63233,ram,rebel,gas,automatic,4wd,truck,full-size,8
63234,bmw,z4 roadster 3.0si,gas,manual,rwd,convertible,full-size,6
63235,bmw,x3,gas,automatic,rwd,SUV,full-size,6
63237,toyota,solara sle,gas,automatic,rwd,coupe,full-size,8
63238,ford,fiesta se hatchback,gas,automatic,rwd,hatchback,full-size,4
63243,volvo,xc90 t6 awd,gas,automatic,4wd,SUV,full-size,4
63253,chevrolet,k10,gas,manual,4wd,truck,full-size,8
63257,gmc,2010,hybrid,automatic,fwd,sedan,full-size,4
63259,subaru,impreza,gas,manual,rwd,pickup,full-size,4
63260,mercedes-benz,gla 250 4 matic,gas,automatic,4wd,hatchback,compact,4
63268,honda,pilot 4wd se,gas,automatic,4wd,SUV,full-size,6
63269,porsche,caynne,gas,automatic,4wd,SUV,full-size,8
63273,toyota,prius 2,hybrid,automatic,fwd,hatchback,compact,0
63275,mercedes-benz,benz,diesel,automatic,4wd,van,full-size,6
63279,gmc,Plymouth Sport Fury,gas,automatic,rwd,pickup,full-size,8
63282,mazda,mazda3 5-door,gas,manual,fwd,hatchback,compact,4
63283,mercedes-benz,benz c320,gas,automatic,fwd,pickup,full-size,6
63285,gmc,MG TC,gas,manual,rwd,pickup,full-size,4
63289,volkswagen,vanagon syncro,gas,manual,4wd,van,full-size,4
63292,toyota,tacoma trd 4x4,gas,manual,4wd,pickup,full-size,6
63305,cadillac,ctsv,gas,automatic,rwd,sedan,full-size,8
63312,toyota,tacoma sr5,gas,automatic,4wd,truck,full-size,6
63315,chevrolet,c65,gas,manual,4wd,other,full-size,8
63316,toyota,tacoma trail,gas,automatic,4wd,truck,full-size,6
63321,pontiac,firebird trans am 455ho,gas,manual,rwd,pickup,full-size,8
63324,bmw,525xi,gas,automatic,rwd,sedan,full-size,6
63332,volkswagen,eurovan camper,gas,automatic,fwd,van,full-size,8
63333,gmc,370,gas,manual,rwd,truck,full-size,6
63334,ford,bronco,gas,automatic,rwd,SUV,full-size,8
63339,gmc,Subari STi,gas,manual,4wd,pickup,full-size,4
63340,infiniti,qx56 4dr suv,gas,automatic,4wd,SUV,full-size,8
63342,mazda,cx-7 sport,gas,automatic,fwd,SUV,full-size,4
63349,mercury,grand marquis ls,gas,automatic,rwd,sedan,full-size,8
63356,mazda,pickup,gas,manual,rwd,pickup,compact,4
63365,audi,q5 3.0 quattro prestige,gas,automatic,4wd,SUV,full-size,8
63366,audi,a4 convertible,gas,automatic,4wd,convertible,compact,3
63367,toyota,corolla le 4dr sedan,gas,automatic,rwd,pickup,compact,4
63368,toyota,tundra sr5,gas,automatic,rwd,pickup,full-size,8
63371,honda,odyssey exl,gas,automatic,fwd,van,full-size,6
63372,bmw,328i wagon,gas,automatic,rwd,wagon,compact,6
63378,jeep,liberty crd,diesel,automatic,4wd,SUV,full-size,4
63379,acura,integra gs,gas,automatic,fwd,hatchback,compact,4
63380,bmw,328i xdrive gt,gas,automatic,4wd,hatchback,mid-size,6
63384,ram,1500 quad cab,gas,automatic,4wd,pickup,full-size,6
63390,lexus,nx 200t,gas,automatic,fwd,SUV,full-size,8
63393,ford,e 250,gas,automatic,rwd,van,full-size,8
63394,acura,integra ls,gas,automatic,fwd,coupe,compact,4
63395,pontiac,torrent awd,gas,automatic,4wd,SUV,mid-size,6
63398,jeep,cherokee,gas,automatic,rwd,offroad,full-size,8
63403,gmc,FOR E 250,gas,automatic,rwd,other,full-size,8
63404,toyota,townace,diesel,manual,4wd,van,full-size,4
63406,toyota,prius two 2015,hybrid,automatic,fwd,hatchback,compact,4
63407,jeep,grand cherokee limited 4x4,gas,automatic,4wd,offroad,mid-size,8
63419,nissan,sentra sv,gas,automatic,fwd,coupe,compact,4
63422,dodge,magnum sxt,gas,automatic,rwd,pickup,full-size,6
63423,volkswagen,tiguan awd 4-motion,gas,automatic,4wd,SUV,compact,4
63425,toyota,camry hybrid le,hybrid,automatic,rwd,sedan,mid-size,4
63429,jeep,wrangler rubicon,gas,manual,4wd,SUV,full-size,6
63431,ford,e350,diesel,automatic,rwd,pickup,full-size,8
63432,toyota,fj cruiser 4x4,gas,automatic,4wd,pickup,full-size,6
63439,toyota,sienna le fwd,gas,automatic,fwd,van,full-size,6
63442,volkswagen,jetta tdi,diesel,automatic,fwd,wagon,full-size,4
63446,nissan,xterra off road,gas,automatic,4wd,SUV,full-size,6
63450,gmc,saab 9-5,gas,automatic,rwd,pickup,full-size,4
63451,gmc,64 nova wagon,gas,automatic,rwd,wagon,mid-size,8
63452,bmw,645ci convertible,gas,automatic,rwd,convertible,mid-size,8
63454,ford,ranchero gt,gas,automatic,rwd,truck,full-size,8
63457,toyota,prius ii,gas,automatic,fwd,hatchback,full-size,4
63475,gmc,MASTERCRAFT,other,other,rwd,truck,full-size,0
63476,mini,cooper clubman s,gas,automatic,fwd,pickup,compact,4
63481,acura,mdx touring,gas,automatic,4wd,SUV,mid-size,6
63485,toyota,corolla liftback,gas,automatic,rwd,hatchback,compact,4
63489,volkswagen,passat 1.8t,gas,automatic,fwd,sedan,mid-size,4
63501,gmc,F0RD F150 EXT CAB,gas,automatic,rwd,pickup,full-size,8
63502,lexus,gs300,gas,automatic,rwd,pickup,full-size,8
63507,chrysler,300-series,gas,automatic,rwd,sedan,full-size,8
63520,jaguar,xk,gas,automatic,rwd,convertible,full-size,8
63548,chevrolet,silverado 2500hd built after aug 14,gas,automatic,rwd,pickup,full-size,8
63556,mini,cooper,gas,automatic,rwd,pickup,compact,8
63560,infiniti,g 37c,gas,automatic,rwd,convertible,compact,6
63573,bmw,x6,gas,automatic,4wd,SUV,full-size,6
63576,bmw,5-series,gas,automatic,4wd,sedan,mid-size,4
63580,audi,a7,gas,automatic,4wd,sedan,mid-size,6
63590,mazda,6,gas,automatic,rwd,other,compact,4
63661,cadillac,srx luxury collection,gas,automatic,fwd,SUV,mid-size,6
63665,ford,fusion energi plug-in,hybrid,automatic,fwd,pickup,full-size,4
63670,chevrolet,cruze lt sedan 4d,gas,automatic,fwd,sedan,full-size,4
63719,audi,a4 premium plus sedan 4d,diesel,automatic,fwd,sedan,full-size,8
63732,honda,prelude vtec,gas,manual,fwd,coupe,full-size,4
63733,ford,ranger supercab xlt,gas,manual,rwd,pickup,mid-size,6
63843,mercedes-benz,cls 550,other,automatic,rwd,sedan,full-size,8
63845,audi,q5 2.0t premium plus,other,automatic,rwd,other,full-size,8
63849,mitsubishi,lancer oz rally,gas,automatic,fwd,pickup,full-size,4
63856,gmc,chysler 300c,gas,automatic,rwd,pickup,full-size,8
63862,chevrolet,camaro lt,gas,automatic,rwd,coupe,full-size,4
63915,toyota,avalon,gas,automatic,rwd,pickup,full-size,8
63922,dodge,caliber,gas,automatic,rwd,pickup,full-size,4
63928,chevrolet,equinox,gas,manual,4wd,pickup,full-size,8
63931,mazda,6,gas,manual,fwd,sedan,mid-size,4
63932,mini,cooper s,gas,manual,fwd,convertible,compact,4
63936,infiniti,g35 coupe,gas,manual,rwd,coupe,compact,8
63948,dodge,stratus se,gas,automatic,rwd,sedan,full-size,6
63954,mercedes-benz,300se,gas,manual,rwd,sedan,full-size,6
63970,saturn,sl2,gas,automatic,fwd,sedan,sub-compact,4
63971,bmw,535i,gas,automatic,rwd,pickup,full-size,6
63975,chevrolet,malibu le 4dr sedan,gas,automatic,fwd,sedan,full-size,4
63978,toyota,sienna xle,gas,automatic,rwd,pickup,full-size,8
64011,rover,lr2 se tech package,gas,automatic,4wd,SUV,mid-size,6
64013,mercedes-benz,benz e500 sport,gas,automatic,rwd,sedan,mid-size,8
64030,gmc,yukon sport,gas,automatic,4wd,pickup,full-size,8
64031,mercury,mountaineer,gas,automatic,4wd,SUV,mid-size,8
64037,honda,accord,gas,automatic,fwd,other,compact,6
64044,ford,e-350 super duty,gas,automatic,rwd,pickup,full-size,8
64072,gmc,KIE RIO S,gas,automatic,rwd,sedan,compact,4
64073,toyota,prius c,gas,automatic,fwd,hatchback,compact,8
64081,toyota,seinna,gas,automatic,fwd,van,full-size,6
64085,chevrolet,malibu ls,gas,automatic,rwd,sedan,full-size,4
64095,mercedes-benz,c300,gas,automatic,4wd,sedan,mid-size,4
64098,gmc,TOYTA CAMRY,hybrid,automatic,fwd,sedan,mid-size,4
64119,bmw,4 series 430i convertible 2d,other,other,rwd,other,full-size,8
64168,volvo,670,diesel,manual,rwd,truck,full-size,8
64215,mercedes-benz,glk,gas,automatic,rwd,SUV,full-size,8
64217,mercedes-benz,cl-class,gas,automatic,rwd,coupe,full-size,8
64243,ford,f-550 bus,other,automatic,rwd,bus,full-size,10
64258,mini,cooper s hardtop,gas,automatic,fwd,pickup,full-size,4
64261,ford,model a,gas,manual,rwd,pickup,full-size,8
64264,lincoln,ls,gas,manual,fwd,sedan,full-size,8
64267,ford,e350,gas,automatic,rwd,van,full-size,8
64314,ford,focus,gas,automatic,rwd,sedan,full-size,8
64318,ford,f150 lariat 4x4 supercrew,gas,automatic,4wd,pickup,full-size,8
64319,chevrolet,camaro zl1,gas,manual,rwd,coupe,compact,8
64323,alfa-romeo,romeo giulia,gas,automatic,rwd,sedan,full-size,6
64333,audi,a3 sportback e-tron,hybrid,automatic,rwd,pickup,full-size,4
64334,chevrolet,volt,hybrid,automatic,rwd,hatchback,full-size,4
64339,audi,a6 3.0t quattro,gas,automatic,rwd,sedan,full-size,6
64347,lexus,rx 300 awd,gas,automatic,4wd,SUV,sub-compact,6
64399,chevrolet,trax lt sport utility,other,other,fwd,hatchback,full-size,8
64402,chevrolet,venture,gas,automatic,rwd,mini-van,full-size,6
64405,volkswagen,touareg,gas,automatic,rwd,pickup,full-size,8
64410,ford,clubwagon,gas,automatic,fwd,van,full-size,8
64411,audi,q5 premium plus,gas,automatic,4wd,SUV,mid-size,4
64429,audi,a3 prestige,gas,automatic,fwd,sedan,mid-size,4
64430,toyota,sienna xle,gas,automatic,rwd,pickup,full-size,6
64451,ford,f660,gas,manual,rwd,truck,full-size,8
64464,dodge,b2500,gas,automatic,rwd,van,full-size,6
64465,volvo,xc60 t5,gas,automatic,fwd,SUV,full-size,4
64466,volvo,s60 t5 dynamic,gas,automatic,fwd,sedan,full-size,4
64469,dodge,durango sxt sport utility,gas,automatic,fwd,SUV,full-size,6
64487,chevrolet,volt premier sedan 4d,gas,automatic,fwd,sedan,mid-size,4
64503,chevrolet,p30 step van,gas,automatic,rwd,van,full-size,8
64504,ford,fusion se,gas,automatic,rwd,sedan,full-size,6
64510,gmc,2012 Peterbilt,diesel,manual,rwd,truck,full-size,8
64514,mazda,3 grand touring,gas,automatic,fwd,hatchback,compact,4
64524,nissan,nv 1500,gas,automatic,rwd,van,full-size,6
64540,gmc,ISUZU NRP,diesel,automatic,rwd,pickup,full-size,8
64541,dodge,challenger hellcat,gas,automatic,rwd,coupe,full-size,8
64546,ram,2500 diesel 4x4,diesel,automatic,4wd,pickup,full-size,6
64547,chevrolet,silverado lt 4wd,hybrid,automatic,4wd,truck,full-size,8
64555,gmc,2003 mistubishi lancer es,gas,automatic,fwd,pickup,mid-size,4
64556,subaru,tribeca awd,gas,automatic,4wd,SUV,full-size,6
64557,honda,odyssey ex,gas,automatic,4wd,van,full-size,6
64583,toyota,highlander xle sport,other,other,rwd,other,full-size,8
64600,chevrolet,nomad,diesel,automatic,rwd,pickup,full-size,8
64603,gmc,utility reefer,diesel,other,rwd,pickup,full-size,0
64611,chevrolet,impala ls,gas,automatic,rwd,sedan,mid-size,6
64615,ford,f150 lariat 4x4,gas,automatic,4wd,pickup,full-size,8
64625,hyundai,elantra gs coupe,gas,automatic,rwd,coupe,full-size,8
64630,chevrolet,truck,gas,automatic,rwd,pickup,full-size,8
64637,mercedes-benz,benz 420sel,gas,automatic,rwd,sedan,full-size,8
64657,ford,e450 passenger bus,gas,automatic,rwd,pickup,full-size,10
64695,toyota,tundra,gas,automatic,rwd,pickup,full-size,6
64697,gmc,volskwagen vanagon,gas,automatic,rwd,other,full-size,4
64698,gmc,oldsmobile cutlass,gas,automatic,rwd,sedan,full-size,8
64704,ford,escape se,gas,automatic,rwd,pickup,full-size,4
64712,ford,f250 super duty,other,automatic,rwd,truck,full-size,8
64718,gmc,1976 Cheyenne 4x4,gas,automatic,4wd,truck,full-size,8
64740,chevrolet,equinox premier,gas,automatic,rwd,SUV,full-size,4
64773,mazda,cx-5 grand touring,gas,automatic,rwd,SUV,full-size,4
64795,mitsubishi,eclipse,gas,automatic,rwd,hatchback,full-size,8
64832,chevrolet,malibu maxx lt,gas,automatic,fwd,hatchback,full-size,6
64836,gmc,Mecedes-Benz E320,gas,automatic,rwd,sedan,mid-size,6
64838,buick,rainier cxl sport,gas,automatic,rwd,SUV,full-size,8
64846,gmc,2009 freightliner,diesel,manual,fwd,truck,full-size,0
64847,gmc,2015 peterbilt,diesel,manual,fwd,truck,full-size,0
64850,hyundai,genesis v6,gas,automatic,rwd,sedan,full-size,6
64853,gmc,R,gas,automatic,fwd,sedan,mid-size,4
64856,hyundai,sonata,gas,automatic,rwd,pickup,full-size,6
64862,ford,fusion se 4dr sedan,gas,automatic,rwd,sedan,mid-size,4
64865,volkswagen,eos komfort,gas,other,fwd,other,full-size,8
64877,gmc,mack,diesel,manual,rwd,pickup,full-size,8
64879,gmc,Reliance,other,other,rwd,pickup,full-size,8
64885,chrysler,sebring,gas,automatic,rwd,convertible,full-size,4
64888,ford,f350 4x4,diesel,automatic,4wd,pickup,full-size,8
64907,audi,a6 quattro,gas,automatic,4wd,sedan,full-size,4
64909,bmw,x3 xdrive28i,gas,manual,4wd,SUV,mid-size,6
