,manufacturer,model,fuel,transmission,drive,type,size,cylinders
121,volvo,s60 t5 inscription sedan,diesel,other,rwd,sedan,full-size,8
122,gmc,blue bird bus,diesel,automatic,rwd,bus,full-size,6
123,volvo,s60 t6 r-design sedan 4d,gas,other,rwd,sedan,full-size,8
124,volvo,s60 t6 r-design sedan 4d,other,other,rwd,sedan,full-size,8
126,chevrolet,express cargo van,gas,automatic,rwd,van,full-size,6
129,infiniti,qx60 luxe sport utility,gas,other,fwd,other,full-size,6
130,alfa-romeo,romeo stelvio ti sport suv,gas,other,rwd,hatchback,full-size,8
131,lincoln,continental select sedan,gas,automatic,rwd,sedan,full-size,6
132,audi,q5 premium sport utility 4d,gas,other,rwd,SUV,full-size,8
133,hyundai,sonata sel sedan 4d,gas,other,fwd,sedan,full-size,8
134,audi,a6 2.0t premium plus sedan,other,automatic,rwd,sedan,full-size,8
136,acura,mdx sh-awd sport utility,gas,other,rwd,other,full-size,6
137,gmc,1966 C-30 1 ton,gas,manual,rwd,pickup,full-size,6
138,jeep,grand cherokee laredo,gas,automatic,rwd,SUV,mid-size,6
139,jeep,wrangler sport suv 2d,other,other,4wd,SUV,full-size,6
140,jeep,wrangler unlimited sport,gas,other,4wd,SUV,full-size,6
141,toyota,camry le sedan 4d,gas,other,fwd,sedan,full-size,8
142,ram,1500 crew cab laramie pickup,other,other,rwd,pickup,full-size,8
143,jeep,wrangler unlimited rubicon,other,other,4wd,other,full-size,8
147,bmw,1 series 128i coupe 2d,other,other,rwd,coupe,full-size,8
148,chrysler,300 limited sedan 4d,gas,other,rwd,sedan,full-size,6
149,mitsubishi,outlander sport es,other,other,rwd,hatchback,full-size,8
150,nissan,sentra s sedan 4d,gas,other,fwd,sedan,full-size,8
152,gmc,acadia denali sport utility,gas,other,rwd,SUV,full-size,6
153,gmc,acadia slt sport utility 4d,gas,other,rwd,SUV,full-size,6
154,lincoln,mkz select sedan 4d,gas,automatic,fwd,sedan,full-size,8
155,gmc,smart fortwo Passion Hatchback,gas,automatic,rwd,coupe,full-size,8
156,lexus,nx 200t sport utility 4d,other,other,rwd,hatchback,full-size,8
157,buick,encore gx select sport,gas,automatic,fwd,SUV,full-size,8
158,jaguar,e-pace p300 r-dynamic se,gas,other,rwd,other,full-size,8
159,subaru,forester,gas,automatic,rwd,SUV,full-size,4
160,acura,tlx,gas,automatic,fwd,sedan,compact,8
161,volvo,s60 t5 premier sedan 4d,gas,automatic,rwd,sedan,full-size,8
163,volvo,s60 t6 inscription sedan,other,other,rwd,sedan,full-size,8
164,volvo,s60 t8 r-design sedan 4d,gas,automatic,rwd,sedan,full-size,8
165,lincoln,continental select sedan,other,automatic,rwd,sedan,full-size,6
166,alfa-romeo,romeo stelvio sport suv 4d,other,other,rwd,hatchback,full-size,8
167,infiniti,qx60 3.5 sport utility,gas,automatic,rwd,SUV,full-size,6
168,audi,q5 45 tfsi premium plus,gas,other,rwd,SUV,full-size,8
169,toyota,tacoma 4x4,gas,manual,4wd,truck,full-size,4
170,toyota,tacoma,gas,automatic,rwd,truck,full-size,4
172,bmw,z4,gas,automatic,rwd,convertible,full-size,6
173,ford,f150 lariat supercrew 4x4,gas,automatic,4wd,pickup,full-size,8
174,volkswagen,jetta sel,gas,automatic,fwd,sedan,full-size,5
175,ford,ranger xlt,gas,automatic,rwd,truck,full-size,6
176,toyota,tacoma double cab,gas,automatic,rwd,truck,full-size,6
177,ford,f150 supercrew cab xlt,gas,automatic,4wd,truck,full-size,8
178,honda,crv ex,gas,automatic,fwd,SUV,full-size,4
179,mazda,mx-5 miata touring,gas,automatic,rwd,convertible,full-size,4
180,mazda,mx-5 miata grand touring,gas,automatic,rwd,convertible,full-size,4
181,porsche,boxster,gas,automatic,rwd,convertible,full-size,6
182,mazda,miata,gas,manual,rwd,convertible,full-size,4
183,lexus,rx350,gas,automatic,4wd,SUV,full-size,6
184,lexus,gx470,gas,automatic,4wd,SUV,full-size,8
185,toyota,rav4,gas,manual,rwd,pickup,full-size,4
186,ford,thunderbird,gas,automatic,fwd,convertible,compact,8
189,nissan,titan single cab sv,gas,other,4wd,pickup,full-size,8
191,nissan,sentra,gas,automatic,fwd,sedan,full-size,4
192,kia,spectra ex,gas,automatic,rwd,sedan,full-size,4
193,ford,f150,gas,automatic,rwd,truck,full-size,8
196,ford,focus,gas,automatic,rwd,pickup,full-size,4
197,ford,windstar,gas,automatic,rwd,pickup,full-size,6
198,ford,sport trac,gas,automatic,rwd,pickup,full-size,6
205,chevrolet,silverado 1500 double,gas,other,rwd,pickup,full-size,6
206,honda,ridgeline,gas,automatic,4wd,pickup,full-size,8
209,toyota,camry,gas,automatic,rwd,pickup,full-size,4
212,kia,optima,gas,automatic,rwd,pickup,full-size,4
213,chevrolet,silverado 2500,diesel,automatic,4wd,truck,full-size,8
215,toyota,echo,gas,automatic,fwd,sedan,compact,4
217,chevrolet,blazer,gas,automatic,4wd,SUV,mid-size,6
219,bmw,525i,gas,automatic,rwd,sedan,mid-size,6
222,gmc,yukon xl,gas,automatic,rwd,SUV,full-size,8
223,ford,c-max hybrid se wagon 4d,hybrid,other,fwd,wagon,full-size,8
224,honda,accord,gas,automatic,fwd,sedan,full-size,6
228,ford,f-150,gas,automatic,rwd,truck,full-size,8
231,gmc,canyon extended cab pickup,other,other,rwd,pickup,full-size,8
232,mercedes-benz,ml350,gas,automatic,4wd,SUV,full-size,6
236,ford,escape,hybrid,automatic,fwd,SUV,full-size,6
